sex,age,race,decile_score,priors_count,c_charge_degree,r_charge_degree,is_violent_recid,v_decile_score,v_score_text,score_text
Male,28,Caucasian,5,1,F,O,0,3,Low,Medium
Female,21,African-American,8,0,F,M,0,7,Medium,High
Male,36,Caucasian,3,0,M,O,0,3,Low,Low
Male,24,African-American,3,0,F,O,0,4,Low,Low
Male,28,African-American,6,3,F,M,0,4,Low,Medium
Male,30,Other,2,1,F,M,0,2,Low,Low
Male,29,African-American,1,0,F,O,0,2,Low,Low
Male,22,African-American,8,2,F,O,0,9,High,High
Male,31,African-American,9,8,F,O,0,5,Medium,High
Male,38,African-American,9,2,F,O,0,5,Medium,High
Female,30,Caucasian,6,0,M,O,0,2,Low,Medium
Male,51,Hispanic,1,1,M,O,0,1,Low,Low
Male,33,Other,1,3,F,O,0,1,Low,Low
Female,25,African-American,6,2,F,O,0,5,Medium,Medium
Male,30,Hispanic,1,0,O,O,0,2,Low,Low
Male,22,African-American,10,0,O,O,0,8,High,High
Male,37,African-American,2,4,M,O,0,2,Low,Low
Male,32,African-American,9,12,F,M,1,7,Medium,High
Male,23,African-American,6,1,F,O,0,5,Medium,Medium
Male,47,African-American,3,3,F,O,0,2,Low,Low
Female,43,African-American,9,0,O,O,0,5,Medium,High
Female,41,African-American,6,6,M,O,0,3,Low,Medium
Female,32,Hispanic,3,1,F,M,0,3,Low,Low
Male,37,Caucasian,1,0,F,O,0,1,Low,Low
Male,19,African-American,10,2,F,M,0,9,High,High
Male,27,Hispanic,8,0,M,O,0,6,Medium,High
Male,39,Other,1,0,M,O,0,1,Low,Low
Female,21,Caucasian,6,0,F,O,0,8,High,Medium
Male,69,Caucasian,1,0,M,O,0,1,Low,Low
Male,36,Caucasian,3,3,F,O,0,3,Low,Low
Female,60,Caucasian,-1,0,O,O,0,-1,,
Male,21,Caucasian,6,2,F,O,0,6,Medium,Medium
Male,26,African-American,10,6,M,M,0,10,High,High
Male,22,Caucasian,4,0,F,O,0,5,Medium,Low
Female,23,African-American,5,0,F,M,0,5,Medium,Medium
Male,20,African-American,7,1,F,O,0,10,High,Medium
Male,28,Caucasian,2,0,F,O,0,2,Low,Low
Male,45,Caucasian,5,0,M,O,0,1,Low,Medium
Male,49,African-American,5,3,F,O,0,4,Low,Medium
Male,29,African-American,4,2,M,F,0,3,Low,Low
Male,24,Caucasian,6,0,O,O,0,8,High,Medium
Female,60,Caucasian,1,0,M,O,0,1,Low,Low
Female,26,African-American,10,0,O,O,0,10,High,High
Male,23,African-American,10,3,F,M,0,10,High,High
Male,34,Hispanic,5,2,M,F,1,2,Low,Medium
Male,30,Caucasian,1,0,M,O,0,2,Low,Low
Female,20,Other,4,1,F,O,0,7,Medium,Low
Male,36,Hispanic,3,1,F,O,0,2,Low,Low
Male,30,Caucasian,4,0,F,O,0,3,Low,Low
Male,21,African-American,3,1,F,M,0,6,Medium,Low
Male,34,African-American,8,11,M,O,0,4,Low,High
Male,25,Hispanic,7,1,F,O,0,3,Low,Medium
Male,25,African-American,7,7,F,O,0,6,Medium,Medium
Male,22,Caucasian,6,2,M,M,0,5,Medium,Medium
Male,57,African-American,8,18,F,O,0,7,Medium,High
Male,29,Caucasian,8,2,M,O,0,5,Medium,High
Male,36,African-American,1,1,F,O,0,1,Low,Low
Male,29,African-American,2,7,M,O,0,4,Low,Low
Male,21,African-American,9,4,F,M,0,6,Medium,High
Male,21,African-American,5,0,F,F,0,6,Medium,Medium
Male,37,African-American,8,1,F,O,0,5,Medium,High
Male,33,Caucasian,1,3,F,O,0,1,Low,Low
Male,34,Caucasian,1,1,M,O,0,1,Low,Low
Male,27,Caucasian,2,0,M,O,0,2,Low,Low
Female,50,Caucasian,1,1,M,M,0,1,Low,Low
Male,26,African-American,3,1,F,O,0,3,Low,Low
Male,40,Caucasian,7,0,F,M,0,9,High,Medium
Male,25,African-American,8,7,F,M,0,7,Medium,High
Female,53,Caucasian,1,1,M,O,0,1,Low,Low
Male,26,African-American,2,0,O,O,0,3,Low,Low
Female,24,African-American,4,0,F,O,0,4,Low,Low
Male,47,Caucasian,1,0,O,O,0,1,Low,Low
Male,39,Caucasian,4,2,M,O,0,4,Low,Low
Male,42,African-American,1,1,F,O,0,1,Low,Low
Male,28,African-American,3,1,M,O,0,3,Low,Low
Male,24,Caucasian,4,1,M,O,0,4,Low,Low
Female,23,Hispanic,4,0,M,O,0,4,Low,Low
Male,26,African-American,8,6,F,M,0,3,Low,High
Male,42,African-American,5,3,M,O,0,3,Low,Medium
Male,22,Caucasian,2,1,M,O,0,4,Low,Low
Male,22,African-American,9,4,F,F,1,9,High,High
Male,21,Caucasian,7,3,M,O,0,8,High,Medium
Male,37,African-American,9,23,F,M,0,4,Low,High
Male,44,Caucasian,2,0,M,O,0,2,Low,Low
Male,64,Caucasian,9,13,F,O,0,2,Low,High
Male,35,African-American,5,2,F,O,0,5,Medium,Medium
Male,36,African-American,7,8,F,O,0,4,Low,Medium
Male,53,African-American,1,2,F,O,0,1,Low,Low
Male,60,African-American,1,1,F,O,0,1,Low,Low
Male,29,African-American,4,7,F,M,0,3,Low,Low
Female,44,African-American,4,2,M,O,0,1,Low,Low
Male,48,Caucasian,8,23,F,F,1,5,Medium,High
Male,23,African-American,2,0,F,O,0,4,Low,Low
Male,48,Hispanic,4,8,F,O,0,1,Low,Low
Male,23,Caucasian,6,0,O,O,0,5,Medium,Medium
Female,52,Caucasian,1,0,M,O,0,1,Low,Low
Male,44,African-American,2,7,M,O,0,3,Low,Low
Male,28,Asian,5,1,F,O,0,2,Low,Medium
Male,27,African-American,8,12,F,M,0,5,Medium,High
Male,28,African-American,9,5,F,M,0,6,Medium,High
Male,33,Caucasian,3,3,M,O,0,1,Low,Low
Female,28,Hispanic,2,0,F,O,0,2,Low,Low
Male,47,Caucasian,10,5,F,F,0,6,Medium,High
Male,36,African-American,7,14,F,M,0,3,Low,Medium
Male,29,African-American,5,2,F,O,0,5,Medium,Medium
Male,22,African-American,9,0,M,M,0,7,Medium,High
Male,26,African-American,7,6,F,O,0,7,Medium,Medium
Male,40,Caucasian,1,0,M,O,0,1,Low,Low
Male,65,Caucasian,1,0,M,O,0,1,Low,Low
Male,25,Caucasian,2,0,F,O,0,3,Low,Low
Male,68,Caucasian,1,2,F,O,0,1,Low,Low
Female,32,Caucasian,4,1,F,O,0,4,Low,Low
Male,56,African-American,3,5,F,O,0,3,Low,Low
Male,27,African-American,8,9,F,F,1,8,High,High
Male,52,Caucasian,1,4,F,M,0,1,Low,Low
Female,31,African-American,2,0,F,O,0,2,Low,Low
Male,44,African-American,1,0,O,O,0,1,Low,Low
Male,32,African-American,2,3,F,O,0,2,Low,Low
Male,60,Other,1,4,F,O,0,1,Low,Low
Male,35,African-American,6,29,F,O,0,2,Low,Medium
Male,31,African-American,8,4,F,O,0,8,High,High
Male,51,Caucasian,3,3,O,O,0,2,Low,Low
Male,23,Hispanic,3,1,M,O,0,4,Low,Low
Female,39,Caucasian,6,0,M,O,0,2,Low,Medium
Male,56,Caucasian,1,0,M,O,0,1,Low,Low
Female,22,African-American,7,0,F,O,0,8,High,Medium
Female,27,African-American,2,1,F,M,0,2,Low,Low
Female,47,Caucasian,1,1,F,O,0,1,Low,Low
Male,53,African-American,6,11,F,O,0,3,Low,Medium
Male,25,Caucasian,2,0,M,M,0,3,Low,Low
Male,21,Hispanic,3,0,M,O,0,6,Medium,Low
Male,22,Caucasian,3,0,F,O,0,5,Medium,Low
Female,43,Hispanic,1,0,M,O,0,1,Low,Low
Female,59,Caucasian,1,0,F,O,0,1,Low,Low
Female,58,Caucasian,1,2,M,O,0,1,Low,Low
Male,53,African-American,1,4,F,O,0,1,Low,Low
Male,31,African-American,3,7,M,M,0,2,Low,Low
Male,22,African-American,5,2,F,O,0,6,Medium,Medium
Male,22,Caucasian,5,1,F,F,0,5,Medium,Medium
Male,28,African-American,6,8,F,F,0,6,Medium,Medium
Male,42,Other,1,1,F,O,0,1,Low,Low
Male,20,African-American,7,0,F,M,0,8,High,Medium
Male,29,Caucasian,6,0,M,M,1,4,Low,Medium
Female,41,Caucasian,1,0,M,O,0,1,Low,Low
Male,29,African-American,10,8,F,O,0,9,High,High
Male,58,African-American,7,21,M,M,0,4,Low,Medium
Male,22,African-American,7,3,F,O,0,6,Medium,Medium
Male,48,Hispanic,1,1,M,M,0,1,Low,Low
Male,37,Caucasian,4,0,F,O,0,3,Low,Low
Male,57,African-American,5,1,F,M,0,6,Medium,Medium
Male,27,Caucasian,1,3,M,O,0,1,Low,Low
Female,49,Other,2,0,O,O,0,1,Low,Low
Male,26,African-American,4,3,F,O,0,3,Low,Low
Male,29,Caucasian,5,0,O,O,0,3,Low,Medium
Male,24,Caucasian,8,3,F,M,0,5,Medium,High
Male,33,Caucasian,1,0,F,O,0,2,Low,Low
Male,28,Caucasian,2,1,F,O,0,3,Low,Low
Male,29,African-American,6,2,F,O,0,3,Low,Medium
Female,24,African-American,10,3,F,F,0,9,High,High
Male,24,Caucasian,1,0,M,O,0,2,Low,Low
Male,19,Caucasian,10,1,F,M,0,8,High,High
Male,36,Caucasian,1,2,M,O,0,1,Low,Low
Male,33,Other,1,0,F,O,0,1,Low,Low
Female,24,Caucasian,5,0,F,O,0,5,Medium,Medium
Male,32,Caucasian,1,0,M,O,0,1,Low,Low
Male,34,Caucasian,1,0,M,O,0,1,Low,Low
Male,31,African-American,1,1,F,O,0,1,Low,Low
Male,36,Caucasian,1,0,O,O,0,1,Low,Low
Male,24,African-American,4,4,F,O,0,5,Medium,Low
Male,25,Hispanic,5,2,F,M,1,3,Low,Medium
Male,20,African-American,10,1,F,M,0,8,High,High
Male,58,Caucasian,1,0,O,O,0,1,Low,Low
Male,35,African-American,10,0,O,O,0,10,High,High
Male,22,African-American,3,1,F,O,0,5,Medium,Low
Male,28,Hispanic,5,2,M,F,1,3,Low,Medium
Male,24,African-American,2,1,M,M,1,4,Low,Low
Male,61,Caucasian,1,4,F,O,0,1,Low,Low
Male,34,Caucasian,6,9,F,O,0,4,Low,Medium
Female,27,Caucasian,4,1,F,O,0,2,Low,Low
Female,50,African-American,2,3,F,O,0,1,Low,Low
Male,30,African-American,1,1,M,O,0,2,Low,Low
Male,38,African-American,3,5,F,O,0,2,Low,Low
Male,24,Caucasian,1,0,M,O,0,2,Low,Low
Male,27,African-American,8,2,F,O,0,5,Medium,High
Male,34,Caucasian,1,0,M,O,0,1,Low,Low
Male,45,African-American,2,16,F,O,0,1,Low,Low
Female,46,African-American,10,2,F,F,0,8,High,High
Male,41,Caucasian,1,0,M,M,0,1,Low,Low
Male,20,Other,8,0,F,F,1,6,Medium,High
Male,27,African-American,8,13,M,M,1,9,High,High
Female,51,African-American,8,16,F,O,0,1,Low,High
Male,21,African-American,4,0,O,O,0,6,Medium,Low
Male,26,African-American,6,1,M,F,0,3,Low,Medium
Male,29,African-American,5,3,F,M,0,3,Low,Medium
Male,52,Caucasian,5,6,F,M,0,3,Low,Medium
Male,28,Caucasian,4,1,F,M,1,3,Low,Low
Male,36,Caucasian,7,0,O,O,0,5,Medium,Medium
Female,34,Native American,7,4,F,F,0,3,Low,Medium
Male,55,African-American,3,5,F,F,0,1,Low,Low
Male,46,Caucasian,2,2,M,O,0,1,Low,Low
Male,59,Caucasian,1,0,M,O,0,1,Low,Low
Male,26,African-American,9,10,F,F,1,6,Medium,High
Male,28,African-American,10,5,F,O,0,10,High,High
Male,27,Caucasian,5,0,O,O,0,3,Low,Medium
Male,63,Caucasian,1,2,F,O,0,1,Low,Low
Male,42,African-American,1,0,F,O,0,1,Low,Low
Male,21,African-American,3,1,F,O,0,5,Medium,Low
Male,57,African-American,1,2,F,O,0,1,Low,Low
Male,23,African-American,6,6,F,F,1,6,Medium,Medium
Male,54,African-American,9,28,F,M,0,5,Medium,High
Male,35,African-American,7,8,F,M,0,4,Low,Medium
Male,42,Caucasian,1,1,F,O,0,1,Low,Low
Female,24,African-American,9,6,F,M,0,9,High,High
Male,54,African-American,1,2,M,O,0,1,Low,Low
Male,58,African-American,6,12,M,M,0,3,Low,Medium
Male,40,Hispanic,1,1,M,O,0,1,Low,Low
Male,23,Caucasian,5,1,M,F,0,5,Medium,Medium
Male,35,African-American,2,1,M,O,0,2,Low,Low
Male,53,African-American,6,17,F,O,0,4,Low,Medium
Male,20,African-American,10,1,F,M,1,10,High,High
Male,24,African-American,4,1,F,O,0,4,Low,Low
Male,51,Caucasian,1,0,F,O,0,1,Low,Low
Male,24,Hispanic,10,0,F,O,0,7,Medium,High
Male,37,Caucasian,2,3,F,O,0,1,Low,Low
Female,46,African-American,1,0,F,O,0,1,Low,Low
Male,47,Caucasian,1,3,F,O,0,1,Low,Low
Male,44,African-American,4,3,F,O,0,6,Medium,Low
Male,34,Caucasian,6,4,F,M,0,2,Low,Medium
Male,56,Caucasian,1,0,F,O,0,1,Low,Low
Male,34,Hispanic,1,4,F,M,0,1,Low,Low
Male,59,Caucasian,1,1,F,M,0,1,Low,Low
Male,35,Asian,6,0,F,O,0,4,Low,Medium
Male,58,Hispanic,1,1,F,O,0,1,Low,Low
Male,29,Hispanic,4,2,M,O,0,2,Low,Low
Female,53,Caucasian,1,1,M,O,0,1,Low,Low
Male,35,African-American,5,0,F,O,0,3,Low,Medium
Male,29,Caucasian,3,1,F,O,0,5,Medium,Low
Male,30,African-American,1,4,M,O,0,2,Low,Low
Female,24,Caucasian,9,6,F,M,1,4,Low,High
Male,21,Caucasian,9,2,M,M,1,9,High,High
Male,26,African-American,9,2,M,O,0,6,Medium,High
Male,50,Asian,7,5,F,M,0,5,Medium,Medium
Male,24,African-American,5,0,O,O,0,4,Low,Medium
Male,33,Caucasian,9,0,F,O,0,7,Medium,High
Male,26,African-American,2,1,F,O,0,3,Low,Low
Male,49,African-American,7,18,F,O,0,4,Low,Medium
Female,30,Caucasian,2,0,M,O,0,2,Low,Low
Male,31,African-American,5,6,F,O,0,8,High,Medium
Male,37,Caucasian,3,5,F,O,0,3,Low,Low
Male,61,African-American,5,0,O,O,0,3,Low,Medium
Female,60,Caucasian,4,5,M,O,0,1,Low,Low
Male,29,Caucasian,9,6,F,M,0,8,High,High
Male,55,Hispanic,1,0,F,O,0,1,Low,Low
Male,29,Caucasian,4,0,M,M,1,4,Low,Low
Male,54,African-American,1,0,M,O,0,1,Low,Low
Male,29,African-American,4,4,F,F,1,4,Low,Low
Male,29,African-American,8,12,F,O,0,4,Low,High
Female,59,Caucasian,1,0,M,O,0,1,Low,Low
Male,38,African-American,5,0,F,O,0,1,Low,Medium
Female,22,Hispanic,5,2,F,M,0,4,Low,Medium
Male,27,Caucasian,-1,1,M,O,0,-1,,
Male,29,African-American,7,4,F,M,1,6,Medium,Medium
Male,59,African-American,6,0,O,O,0,3,Low,Medium
Male,27,Caucasian,3,1,M,M,0,3,Low,Low
Male,26,Hispanic,5,7,F,M,0,5,Medium,Medium
Male,52,Hispanic,3,20,F,O,0,1,Low,Low
Male,66,African-American,6,33,F,M,0,2,Low,Medium
Male,31,African-American,6,0,O,O,0,8,High,Medium
Female,27,African-American,3,0,O,O,0,3,Low,Low
Male,22,African-American,10,0,F,O,0,5,Medium,High
Male,27,Caucasian,5,2,F,O,0,4,Low,Medium
Male,51,Caucasian,1,1,M,O,0,1,Low,Low
Male,35,Caucasian,2,1,F,O,0,3,Low,Low
Male,71,Caucasian,1,2,M,O,0,1,Low,Low
Male,36,African-American,1,0,M,O,0,1,Low,Low
Male,26,African-American,7,1,F,O,0,4,Low,Medium
Male,52,Caucasian,3,4,M,O,0,2,Low,Low
Female,43,Other,1,0,O,O,0,1,Low,Low
Male,39,Caucasian,1,4,F,O,0,1,Low,Low
Male,30,Caucasian,5,1,F,O,0,3,Low,Medium
Female,35,African-American,2,12,M,O,0,1,Low,Low
Male,25,African-American,8,2,F,O,0,9,High,High
Male,48,Other,5,12,F,O,0,4,Low,Medium
Male,55,African-American,9,1,F,O,0,3,Low,High
Female,62,Hispanic,1,0,F,O,0,1,Low,Low
Female,34,Caucasian,6,4,F,O,0,2,Low,Medium
Female,26,African-American,2,0,M,O,0,2,Low,Low
Female,48,Caucasian,1,0,M,O,0,1,Low,Low
Male,30,Hispanic,4,7,M,O,0,5,Medium,Low
Male,28,Other,1,2,M,O,0,2,Low,Low
Male,33,African-American,3,2,M,O,0,3,Low,Low
Female,34,African-American,4,6,F,O,0,2,Low,Low
Female,22,African-American,9,1,F,O,0,5,Medium,High
Male,25,Other,1,0,M,O,0,2,Low,Low
Male,59,African-American,7,10,F,M,0,4,Low,Medium
Male,29,African-American,5,5,F,M,0,3,Low,Medium
Male,42,Other,1,0,M,O,0,1,Low,Low
Male,24,Caucasian,2,0,F,O,0,3,Low,Low
Male,58,Caucasian,1,0,F,O,0,1,Low,Low
Male,48,Caucasian,7,1,F,M,0,4,Low,Medium
Female,54,Caucasian,1,2,F,O,0,1,Low,Low
Male,55,African-American,8,0,M,F,1,4,Low,High
Male,30,African-American,2,0,M,O,0,2,Low,Low
Male,24,Caucasian,5,3,F,O,0,6,Medium,Medium
Male,52,African-American,5,4,M,O,0,3,Low,Medium
Male,20,African-American,4,0,F,M,0,6,Medium,Low
Male,25,Caucasian,4,4,F,M,0,3,Low,Low
Male,24,Caucasian,2,0,F,O,0,3,Low,Low
Male,23,Caucasian,9,0,M,O,0,6,Medium,High
Male,27,Caucasian,4,6,F,F,0,3,Low,Low
Male,53,African-American,1,1,F,O,0,1,Low,Low
Male,25,African-American,3,1,M,M,0,3,Low,Low
Female,29,Other,2,0,F,O,0,2,Low,Low
Male,31,African-American,2,0,F,O,0,1,Low,Low
Male,25,African-American,4,6,F,M,0,5,Medium,Low
Male,32,Caucasian,1,1,F,M,1,2,Low,Low
Male,21,Caucasian,3,0,F,M,0,5,Medium,Low
Male,45,Caucasian,5,10,F,O,0,7,Medium,Medium
Male,37,Other,1,1,F,O,0,1,Low,Low
Male,25,Caucasian,3,0,F,O,0,4,Low,Low
Male,21,African-American,3,0,M,O,0,6,Medium,Low
Male,32,Hispanic,10,20,F,O,0,7,Medium,High
Male,35,African-American,7,0,F,O,0,2,Low,Medium
Male,34,Caucasian,10,28,F,O,0,5,Medium,High
Male,42,African-American,7,14,F,F,0,6,Medium,Medium
Female,31,Hispanic,6,0,O,O,0,3,Low,Medium
Male,24,Caucasian,10,9,M,F,1,8,High,High
Female,26,Caucasian,2,1,F,O,0,2,Low,Low
Male,35,African-American,7,6,M,O,0,3,Low,Medium
Female,26,Caucasian,9,0,F,O,0,9,High,High
Male,22,Caucasian,10,6,F,M,0,10,High,High
Male,21,Hispanic,6,0,F,M,0,9,High,Medium
Male,47,Caucasian,1,1,M,O,0,1,Low,Low
Male,71,Caucasian,1,0,M,O,0,1,Low,Low
Female,21,African-American,4,0,M,O,0,5,Medium,Low
Male,68,Caucasian,1,0,M,O,0,1,Low,Low
Male,27,African-American,9,5,F,M,0,7,Medium,High
Male,43,Hispanic,1,2,M,M,0,1,Low,Low
Male,46,Caucasian,6,2,F,M,0,1,Low,Medium
Male,44,African-American,3,1,M,O,0,1,Low,Low
Female,39,Caucasian,1,0,F,O,0,1,Low,Low
Male,27,African-American,5,0,F,O,0,5,Medium,Medium
Male,23,Caucasian,2,2,F,O,0,3,Low,Low
Female,50,Hispanic,1,1,F,O,0,1,Low,Low
Male,42,African-American,5,8,F,O,0,2,Low,Medium
Male,58,African-American,6,6,F,O,0,3,Low,Medium
Male,24,African-American,3,0,M,O,0,4,Low,Low
Male,49,African-American,7,15,F,O,0,7,Medium,Medium
Male,26,African-American,6,3,F,F,0,4,Low,Medium
Female,48,Other,1,0,F,O,0,1,Low,Low
Male,39,African-American,3,3,F,M,0,2,Low,Low
Male,21,African-American,5,3,F,F,1,6,Medium,Medium
Male,63,Caucasian,1,1,M,O,0,1,Low,Low
Male,22,African-American,7,3,F,F,1,7,Medium,Medium
Male,50,African-American,3,3,M,O,0,2,Low,Low
Female,26,Other,2,0,O,O,0,2,Low,Low
Male,38,African-American,1,0,F,O,0,1,Low,Low
Male,41,Caucasian,6,1,F,O,0,4,Low,Medium
Male,28,African-American,8,16,F,M,1,9,High,High
Female,30,African-American,3,0,M,O,0,3,Low,Low
Male,23,African-American,5,1,F,O,0,7,Medium,Medium
Male,21,Caucasian,3,0,F,O,0,6,Medium,Low
Male,25,Caucasian,4,2,F,F,0,3,Low,Low
Male,53,Caucasian,1,2,M,O,0,1,Low,Low
Male,40,Caucasian,4,5,F,O,0,1,Low,Low
Male,24,Hispanic,8,8,F,O,0,4,Low,High
Female,23,Caucasian,8,3,M,O,0,4,Low,High
Male,41,Caucasian,3,0,O,O,0,1,Low,Low
Male,27,African-American,4,5,M,M,0,9,High,Low
Female,37,African-American,1,0,F,O,0,1,Low,Low
Male,44,Caucasian,3,11,M,O,0,6,Medium,Low
Female,35,African-American,2,6,F,M,1,1,Low,Low
Male,42,Caucasian,1,0,M,O,0,1,Low,Low
Male,38,African-American,7,15,F,M,0,5,Medium,Medium
Male,53,Other,1,0,O,O,0,1,Low,Low
Male,26,Hispanic,6,4,F,O,0,6,Medium,Medium
Female,25,African-American,3,0,M,O,0,3,Low,Low
Male,34,Caucasian,1,0,M,O,0,1,Low,Low
Male,22,African-American,7,2,F,O,0,8,High,Medium
Male,36,African-American,4,0,O,O,0,2,Low,Low
Male,24,Caucasian,4,1,F,O,0,6,Medium,Low
Male,64,Hispanic,1,1,F,O,0,1,Low,Low
Female,49,Caucasian,1,2,M,M,0,1,Low,Low
Male,50,Caucasian,1,5,F,M,0,1,Low,Low
Male,28,Caucasian,6,8,F,F,0,8,High,Medium
Male,66,Caucasian,1,0,M,M,0,1,Low,Low
Male,32,Hispanic,6,0,O,O,0,3,Low,Medium
Female,46,Caucasian,1,0,M,O,0,1,Low,Low
Male,30,African-American,6,5,F,F,1,6,Medium,Medium
Female,22,Caucasian,3,0,M,O,0,4,Low,Low
Male,23,Caucasian,4,1,M,O,0,6,Medium,Low
Male,30,Other,6,0,M,M,0,5,Medium,Medium
Male,24,African-American,10,10,F,F,0,5,Medium,High
Male,53,Caucasian,7,0,F,O,0,5,Medium,Medium
Male,31,Hispanic,1,0,M,O,0,2,Low,Low
Male,56,Caucasian,1,3,M,O,0,1,Low,Low
Male,31,Other,2,1,F,O,0,2,Low,Low
Female,31,Caucasian,7,0,F,O,0,3,Low,Medium
Male,21,African-American,7,4,F,M,0,8,High,Medium
Male,28,African-American,8,4,F,F,0,7,Medium,High
Male,25,African-American,3,0,M,F,1,4,Low,Low
Female,21,Caucasian,7,0,F,O,0,5,Medium,Medium
Male,27,African-American,2,0,M,O,0,3,Low,Low
Male,48,Caucasian,-1,3,F,F,0,3,Low,
Male,20,African-American,4,0,O,O,0,6,Medium,Low
Male,20,Hispanic,2,0,M,M,0,5,Medium,Low
Male,32,Hispanic,1,1,F,O,0,1,Low,Low
Female,24,Caucasian,5,0,F,O,0,5,Medium,Medium
Male,22,African-American,7,1,F,O,0,6,Medium,Medium
Female,24,Caucasian,2,0,M,O,0,3,Low,Low
Male,20,African-American,3,1,F,O,0,6,Medium,Low
Male,26,African-American,4,1,F,O,0,4,Low,Low
Female,48,Hispanic,1,0,M,O,0,1,Low,Low
Male,26,Asian,1,0,M,O,0,2,Low,Low
Male,31,African-American,8,3,M,M,0,3,Low,High
Male,27,African-American,7,3,M,F,1,8,High,Medium
Male,59,African-American,5,17,F,M,0,2,Low,Medium
Male,40,African-American,2,0,F,O,0,1,Low,Low
Male,22,African-American,10,11,F,F,1,8,High,High
Female,38,African-American,1,1,F,O,0,1,Low,Low
Male,36,Hispanic,10,1,M,F,0,9,High,High
Male,50,Other,1,4,M,O,0,1,Low,Low
Male,30,African-American,7,1,M,O,0,4,Low,Medium
Male,27,Caucasian,6,6,F,F,1,4,Low,Medium
Male,43,African-American,1,1,M,O,0,1,Low,Low
Female,59,Caucasian,1,0,M,O,0,1,Low,Low
Male,37,Caucasian,1,2,M,O,0,1,Low,Low
Male,28,African-American,7,5,M,M,0,7,Medium,Medium
Male,38,Caucasian,1,0,F,O,0,1,Low,Low
Female,33,Caucasian,1,0,M,O,0,1,Low,Low
Male,24,Caucasian,4,2,F,O,0,5,Medium,Low
Male,22,African-American,8,0,F,M,0,6,Medium,High
Male,60,Hispanic,4,0,F,O,0,1,Low,Low
Male,43,Hispanic,1,1,M,O,0,1,Low,Low
Male,28,Caucasian,9,1,F,O,0,3,Low,High
Male,25,African-American,5,4,F,M,1,4,Low,Medium
Male,51,Caucasian,1,0,M,O,0,1,Low,Low
Male,33,Caucasian,1,0,F,O,0,1,Low,Low
Male,30,Hispanic,5,6,F,F,1,3,Low,Medium
Female,58,Caucasian,1,0,M,O,0,1,Low,Low
Male,63,African-American,1,2,M,O,0,1,Low,Low
Female,28,Caucasian,4,0,M,O,0,5,Medium,Low
Male,38,Caucasian,1,0,O,O,0,1,Low,Low
Female,28,Caucasian,3,0,M,O,0,3,Low,Low
Male,29,Caucasian,2,2,M,M,0,2,Low,Low
Male,28,African-American,3,10,F,O,0,2,Low,Low
Male,26,African-American,8,6,M,O,0,8,High,High
Male,55,African-American,3,9,M,F,0,1,Low,Low
Female,23,Caucasian,10,3,F,O,0,9,High,High
Female,22,African-American,5,0,M,O,0,6,Medium,Medium
Female,19,Caucasian,10,2,F,F,0,7,Medium,High
Male,23,African-American,10,4,F,O,0,8,High,High
Male,31,African-American,1,1,M,O,0,1,Low,Low
Male,45,African-American,4,0,O,O,0,3,Low,Low
Male,29,African-American,1,0,M,O,0,1,Low,Low
Male,21,African-American,6,1,M,O,0,6,Medium,Medium
Male,61,African-American,6,15,F,F,0,3,Low,Medium
Male,24,African-American,10,4,F,M,1,9,High,High
Male,26,Hispanic,2,0,F,O,0,2,Low,Low
Male,31,Hispanic,2,0,M,O,0,2,Low,Low
Male,20,African-American,9,4,F,F,0,6,Medium,High
Male,26,Caucasian,7,3,F,M,0,4,Low,Medium
Female,22,Hispanic,3,0,M,O,0,3,Low,Low
Male,27,Caucasian,9,5,M,O,0,7,Medium,High
Male,25,Caucasian,5,1,F,O,0,3,Low,Medium
Male,23,Caucasian,5,3,F,F,0,5,Medium,Medium
Male,38,African-American,1,0,F,O,0,1,Low,Low
Male,51,Caucasian,4,1,F,O,0,1,Low,Low
Male,27,African-American,9,18,F,M,0,6,Medium,High
Female,35,Caucasian,3,0,F,M,0,2,Low,Low
Male,22,Other,9,0,F,O,0,7,Medium,High
Male,38,African-American,6,11,F,O,0,1,Low,Medium
Female,58,African-American,2,4,F,M,1,1,Low,Low
Male,44,African-American,1,6,F,O,0,3,Low,Low
Female,57,Caucasian,4,0,M,M,0,1,Low,Low
Male,36,Other,2,6,F,O,0,3,Low,Low
Male,21,African-American,3,0,F,O,0,5,Medium,Low
Male,20,African-American,5,1,F,O,0,8,High,Medium
Female,22,African-American,8,0,F,O,0,6,Medium,High
Male,30,African-American,2,0,F,O,0,2,Low,Low
Male,24,Caucasian,10,1,F,M,0,9,High,High
Female,24,African-American,9,0,O,O,0,6,Medium,High
Male,56,Caucasian,1,1,M,O,0,1,Low,Low
Male,32,African-American,3,1,F,O,0,1,Low,Low
Male,22,Caucasian,4,2,F,M,1,6,Medium,Low
Male,43,Caucasian,1,0,O,O,0,1,Low,Low
Male,31,Hispanic,2,1,F,O,0,2,Low,Low
Male,29,Caucasian,4,3,F,M,0,2,Low,Low
Male,30,African-American,8,8,F,F,0,3,Low,High
Female,31,African-American,6,10,F,O,0,2,Low,Medium
Male,53,Hispanic,1,0,F,O,0,1,Low,Low
Female,45,Caucasian,6,1,F,O,0,4,Low,Medium
Male,23,African-American,7,4,F,O,0,9,High,Medium
Female,36,African-American,6,2,F,O,0,3,Low,Medium
Male,39,Caucasian,2,2,F,M,0,1,Low,Low
